Label,Area,Mean,Perim,Circ,AR,Round,Solidity,type
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",708,129.56356,122.51304,0.59276,2.26299,0.44189,0.86289,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1065,135.55399,161.42342,0.5136,1.6488,0.6065,0.75,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1099,139.77343,166.97281,0.49535,2.06316,0.48469,0.7898,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",654,121.44954,121.10888,0.56032,1.26059,0.79328,0.79562,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1121,103.27029,162.21578,0.53534,2.80832,0.35608,0.8986,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",954,111.19392,140.33693,0.60872,1.42002,0.70422,0.79899,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",835,108.57246,137.06394,0.55853,2.24139,0.44615,0.83709,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1283,112.80359,183.65246,0.47802,2.97624,0.33599,0.87697,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",642,109.02492,135.17914,0.44149,1.83932,0.54368,0.80502,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",2110,103.68578,293.52031,0.30776,2.06201,0.48496,0.74361,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",780,109.40128,149.23953,0.44009,2.33475,0.42831,0.72727,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1146,109.90925,235.25666,0.2602,3.13853,0.31862,0.58069,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",959,111.68092,248.83147,0.19463,2.76164,0.3621,0.4371,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1039,113.13763,160.03514,0.50979,1.71559,0.58289,0.80825,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1549,109.255,319.39972,0.19081,5.35808,0.18663,0.57982,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1413,105.62703,212.93893,0.3916,1.13506,0.88101,0.67479,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1768,110.2302,322.58461,0.2135,1.52851,0.65423,0.54864,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1382,110.05427,251.85481,0.27379,3.57179,0.27997,0.65204,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1062,106.81262,215.95085,0.28617,4.96149,0.20155,0.70753,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1616,113.63861,191.32339,0.55477,1.26322,0.79163,0.79138,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",463,103.8121,111.05963,0.47171,1.80919,0.55273,0.73492,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1008,115.8631,151.66992,0.55064,1.34976,0.74087,0.75336,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1288,112.35481,210.21297,0.36627,2.83775,0.35239,0.70344,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1158,110.69862,173.20848,0.48504,3.04077,0.32886,0.8521,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1023,107.78104,197.45356,0.32973,6.50755,0.15367,0.78481,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1359,108.02281,297.82857,0.19253,1.60688,0.62232,0.37692,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",854,110.01054,206.58224,0.25147,2.35008,0.42552,0.52232,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",866,113.29215,131.10543,0.63312,1.31977,0.75771,0.87035,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1560,105.2859,173.72209,0.64957,1.13365,0.88211,0.84691,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1057,102.13434,198.99221,0.33544,3.6598,0.27324,0.80076,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1787,111.4958,335.116,0.19996,9.8767,0.10125,0.66654,GL261
"GL261_Normoksja_16_48h_większa_konfluencja,jpg",1528,108.4856,267.5083,0.26832,6.20203,0.16124,0.73321,GL261
